Unnamed: 0,customer_id,subscription_id,participant_age,marketing_channel,country_code,extra_draws_per_year,add_ons,failed_payments_12m,monthly_spend_estimated,donation_share_charity,web_sessions_90d_raw,service_contacts_12m,complaints_12m,lifetime_wins,campaign_cohort,treatment_sent_flag,offer_cost_eur,baseline_churn_risk_band,historic_revenue_12m,churned,revenue_next_12m_observed,subscription_month_length,ITE_variant_a,ITE_variant_b
23065,9ea06a8d8fab507a30,ef00b84219dbaa85c3,57,direct mail,no,0,1,1.0,16.91,58.0,5,0,0,0,control,0,0.0,medium,234.31,1,206.5,71,-0.71,-0.56
5768,f3f22264dbacb7ea85,79cd825137f1a11f94,71,direct mail,de,0,0,0.0,15.44,55.0,3,1,0,14,control,0,0.0,very high,180.27,1,49.58,85,-0.6699999999999999,-0.48999999999999994
15468,9955f2f0e7f1f4811d,a0ed0fd797bc579b4d,78,door-to-door,de,2,0,1.0,15.75,42.0,5,1,0,12,control,0,0.0,medium,205.79,1,123.0,139,-0.65,-0.72
17425,009a7a3a6b62cb8406,ce1d093041c02615ef,75,direct mail,nl,0,3,0.0,28.45,60.0,9,0,0,0,control,0,0.0,very high,400.53,1,244.81,109,-0.6499999999999999,-0.37
12110,e935efd65cd5c29a93,da35088caf76a6fac6,71,referral,nl,0,1,0.0,22.68,54.0,10,2,0,9,control,0,0.0,medium,269.02,1,189.24,74,-0.64,-0.6799999999999999
18234,bbf94d74de13fcaf24,b154af8aa983c8af7a,79,dm,nl,0,1,0.0,17.85,50.0,1,0,0,0,control,0,0.0,medium,243.1,1,14.3,160,-0.63,-0.4
170,ca810d7772367ff955,2e7061374e1229c429,62,door-to-door,no,0,0,0.0,14.99,45.0,5,0,0,0,control,0,0.0,high,149.71,1,160.32,160,-0.6299999999999999,-0.51
18646,8924525719289a3343,7bab5a23e75e2a33db,52,door-to-door,de,0,1,0.0,18.78,60.0,0,0,1,1,control,0,0.0,medium,265.75,1,163.6,155,-0.62,-0.65
28205,874b2add857bd9bcc6,f3bc7230471d483f00,60,direct mail,nl,1,1,0.0,16.5,64.0,0,2,0,0,control,0,0.0,medium,227.08,1,152.76,65,-0.61,-0.51
11790,d64295c7aa041a80e7,89f87221f2fa5f284e,21,door-to-door,gb,0,1,0.0,14.76,57.0,0,1,0,3,control,0,0.0,medium,179.87,1,97.19,117,-0.61,-0.66
5436,0cfe3c931a81acba36,7c28a818c5f32533bf,73,referral,nl,2,2,0.0,24.89,49.0,3,2,0,0,control,0,0.0,low,394.31,1,250.81,100,-0.6000000000000001,-0.56
34450,73907fed82d21d4b37,2e893fa339c7631d2e,86,direct mail,gb,0,0,1.0,15.44,37.5,12,0,0,0,control,0,0.0,medium,149.18,1,14.47,40,-0.6,-0.61
18203,f65454346463d95c4a,414746fc9058c3d3cc,83,television,gb,0,1,0.0,22.92,40.0,13,3,0,0,control,0,0.0,high,251.51,1,85.47,87,-0.6,-0.41000000000000003
12625,d9376cb84f00869b10,222c1b4580c570aa4a,32,tv,gb,2,1,1.0,14.85,32.0,2,0,0,15,control,0,0.0,high,179.08,1,178.49,88,-0.6,-0.39999999999999997
24973,d24110aad582c07b5b,922e04825c0ae0ec96,50,online paid,gb,2,1,2.0,14.75,54.0,7,0,0,0,variant_a,1,9.21,medium,172.31,0,188.1,108,-0.6,-0.25999999999999995
1215,c05c0c0aa89b97effe,e6414bcf81a466ceac,69,dm,gb,2,0,0.0,15.94,49.0,4,0,0,0,control,0,0.0,medium,198.5,1,75.32,157,-0.6,-0.31999999999999995
19845,92e9ee85b2a0843ab8,a5c517d81ec9c9504c,73,television,de,1,2,0.0,23.64,59.0,5,1,0,2,control,0,0.0,low,299.12,1,110.19,59,-0.6,-0.57
9672,43901482383126ddc7,f9a4824058f8adf3e2,26,tv,de,0,1,0.0,15.51,54.3,0,2,0,3,control,0,0.0,low,157.89,1,13.22,96,-0.6,-0.64
