,Unnamed: 0,customer_id,subscription_id,participant_age,marketing_channel,country_code,extra_draws_per_year,add_ons,failed_payments_12m,monthly_spend_estimated,donation_share_charity,web_sessions_90d_raw,service_contacts_12m,complaints_12m,lifetime_wins,campaign_cohort,treatment_sent_flag,offer_cost_eur,baseline_churn_risk_band,historic_revenue_12m,churned,revenue_next_12m_observed,subscription_month_length,ITE_variant_a,ITE_variant_b,variant_a_or_b
0,23065,9ea06a8d8fab507a30,ef00b84219dbaa85c3,57,direct mail,no,0,1,1.0,16.91,58.0,5,0,0,0,control,0,0.0,medium,234.31,1,206.5,71,-0.71,-0.56,a
1,5768,f3f22264dbacb7ea85,79cd825137f1a11f94,71,direct mail,de,0,0,0.0,15.44,55.0,3,1,0,14,control,0,0.0,very high,180.27,1,49.58,85,-0.6699999999999999,-0.4899999999999999,a
2,15468,9955f2f0e7f1f4811d,a0ed0fd797bc579b4d,78,door-to-door,de,2,0,1.0,15.75,42.0,5,1,0,12,control,0,0.0,medium,205.79,1,123.0,139,-0.65,-0.72,a
3,17425,009a7a3a6b62cb8406,ce1d093041c02615ef,75,direct mail,nl,0,3,0.0,28.45,60.0,9,0,0,0,control,0,0.0,very high,400.53,1,244.81,109,-0.6499999999999999,-0.37,a
4,12110,e935efd65cd5c29a93,da35088caf76a6fac6,71,referral,nl,0,1,0.0,22.68,54.0,10,2,0,9,control,0,0.0,medium,269.02,1,189.24,74,-0.64,-0.6799999999999999,a
5,18234,bbf94d74de13fcaf24,b154af8aa983c8af7a,79,dm,nl,0,1,0.0,17.85,50.0,1,0,0,0,control,0,0.0,medium,243.1,1,14.3,160,-0.63,-0.4,a
6,170,ca810d7772367ff955,2e7061374e1229c429,62,door-to-door,no,0,0,0.0,14.99,45.0,5,0,0,0,control,0,0.0,high,149.71,1,160.32,160,-0.6299999999999999,-0.51,a
7,18646,8924525719289a3343,7bab5a23e75e2a33db,52,door-to-door,de,0,1,0.0,18.78,60.0,0,0,1,1,control,0,0.0,medium,265.75,1,163.6,155,-0.62,-0.65,a
9,11790,d64295c7aa041a80e7,89f87221f2fa5f284e,21,door-to-door,gb,0,1,0.0,14.76,57.0,0,1,0,3,control,0,0.0,medium,179.87,1,97.19,117,-0.61,-0.66,a
8,28205,874b2add857bd9bcc6,f3bc7230471d483f00,60,direct mail,nl,1,1,0.0,16.5,64.0,0,2,0,0,control,0,0.0,medium,227.08,1,152.76,65,-0.61,-0.51,a
